task_id,kind,key,category,part
manager:1,manager,1,manager_amended,development
manager:1,manager,1,manager_current,development
manager:1,manager,1,manager_historically_incomplete,development
manager:10,manager,10,manager_current,development
manager:10,manager,10,manager_historically_incomplete,development
manager:11,manager,11,manager_historically_incomplete,development
manager:11,manager,11,manager_stale,development
manager:12,manager,12,manager_current,development
manager:12,manager,12,manager_historically_incomplete,development
manager:13,manager,13,manager_current,holdout
manager:13,manager,13,manager_diversified,holdout
manager:13,manager,13,manager_historically_incomplete,holdout
manager:14,manager,14,manager_amended,development
manager:14,manager,14,manager_current,development
manager:14,manager,14,manager_diversified,development
manager:14,manager,14,manager_historically_incomplete,development
manager:15,manager,15,manager_current,development
manager:15,manager,15,manager_historically_incomplete,development
manager:16,manager,16,manager_current,development
manager:16,manager,16,manager_historically_incomplete,development
manager:17,manager,17,manager_current,holdout
manager:17,manager,17,manager_historically_incomplete,holdout
manager:18,manager,18,manager_concentrated,development
manager:18,manager,18,manager_current,development
manager:18,manager,18,manager_historically_incomplete,development
manager:19,manager,19,manager_concentrated,holdout
manager:19,manager,19,manager_current,holdout
manager:19,manager,19,manager_historically_incomplete,holdout
manager:2,manager,2,manager_amended,holdout
manager:2,manager,2,manager_concentrated,holdout
manager:2,manager,2,manager_historically_incomplete,holdout
manager:2,manager,2,manager_stale,holdout
manager:20,manager,20,manager_concentrated,holdout
manager:20,manager,20,manager_current,holdout
manager:20,manager,20,manager_historically_incomplete,holdout
manager:21,manager,21,manager_amended,development
manager:21,manager,21,manager_concentrated,development
manager:21,manager,21,manager_current,development
manager:21,manager,21,manager_historically_incomplete,development
manager:22,manager,22,manager_amended,development
manager:22,manager,22,manager_current,development
manager:22,manager,22,manager_historically_incomplete,development
manager:23,manager,23,manager_current,holdout
manager:23,manager,23,manager_diversified,holdout
manager:23,manager,23,manager_historically_incomplete,holdout
manager:24,manager,24,manager_concentrated,holdout
manager:24,manager,24,manager_current,holdout
manager:24,manager,24,manager_historically_incomplete,holdout
manager:25,manager,25,manager_current,development
manager:25,manager,25,manager_diversified,development
manager:25,manager,25,manager_historically_incomplete,development
manager:26,manager,26,manager_current,development
manager:26,manager,26,manager_diversified,development
manager:26,manager,26,manager_historically_incomplete,development
manager:27,manager,27,manager_current,development
manager:27,manager,27,manager_diversified,development
manager:27,manager,27,manager_historically_incomplete,development
manager:28,manager,28,manager_diversified,development
manager:28,manager,28,manager_historically_incomplete,development
manager:28,manager,28,manager_stale,development
manager:29,manager,29,manager_current,holdout
manager:29,manager,29,manager_diversified,holdout
manager:29,manager,29,manager_historically_incomplete,holdout
manager:3,manager,3,manager_amended,development
manager:3,manager,3,manager_concentrated,development
manager:3,manager,3,manager_current,development
manager:3,manager,3,manager_historically_incomplete,development
manager:4,manager,4,manager_current,development
manager:4,manager,4,manager_historically_incomplete,development
manager:5,manager,5,manager_current,development
manager:5,manager,5,manager_historically_incomplete,development
manager:6,manager,6,manager_current,holdout
manager:6,manager,6,manager_historically_incomplete,holdout
manager:7,manager,7,manager_amended,development
manager:7,manager,7,manager_concentrated,development
manager:7,manager,7,manager_historically_incomplete,development
manager:7,manager,7,manager_stale,development
manager:8,manager,8,manager_amended,development
manager:8,manager,8,manager_concentrated,development
manager:8,manager,8,manager_current,development
manager:8,manager,8,manager_historically_incomplete,development
manager:9,manager,9,manager_current,development
manager:9,manager,9,manager_historically_incomplete,development
security:00039J202,security,00039J202,security_low_breadth,development
security:00039J202,security,00039J202,security_share_class,development
security:00039J202,security,00039J202,security_unresolved_or_ambiguous,development
security:00039J608,security,00039J608,security_low_breadth,development
security:00039J608,security,00039J608,security_share_class,development
security:00039J608,security,00039J608,security_unfamiliar,development
security:00039J822,security,00039J822,security_low_breadth,development
security:00039J822,security,00039J822,security_share_class,development
security:00039J822,security,00039J822,security_unresolved_or_ambiguous,development
security:00081T108,security,00081T108,security_persistent_activity,development
security:000847202,security,000847202,security_share_class,development
security:000847202,security,000847202,security_stale,development
